Methods,num_indexes_to_replace,class_to_replace,Unlearn epochs,RTE,FID,rUA (%),UA (%),RA (%),TA (%),MIA correctness,MIA confidence,MIA prob,MIA entropy,MIA mix entropy,arch,dataset,seed
OS_unlearn,2000,-1,0,7.047260999679565,78.4,20.3,98.84999932861328,98.83953489365689,92.47,0.9885,0.9445,0.866,0.861,0.831,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,1,7.026660919189453,78.4,20.4,98.94999932861329,98.99302326574991,92.64,0.9895,0.9545,0.8605,0.903,0.88,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,1,18.303141117095947,78.4,20.4,98.94999932861329,98.99302326574991,92.65,0.9895,0.955,0.8605,0.905,0.882,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,1,73.24784278869629,78.2,19.8,98.34999932861328,98.3767441789494,91.99,0.9835,0.8615,0.8295,0.807,0.785,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,1,7.076115131378174,78.4,20.4,98.94999932861329,98.99534884714525,92.62,0.9895,0.955,0.8605,0.905,0.882,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,1,6.959791898727417,78.4,20.4,98.94999932861329,98.99302326574991,92.64,0.9895,0.9545,0.8605,0.903,0.88,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,1,7.107239246368408,78.4,20.35,98.89999932861328,98.94651163784293,92.59,0.989,0.952,0.9495,0.891,0.8615,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,1,67.57500576972961,78.4,20.4,98.94999932861329,98.98372094016851,92.63,0.9895,0.953,0.86,0.9,0.8765,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,1,6.9409871101379395,78.4,20.4,98.94999932861329,98.99302326574991,92.64,0.9895,0.9545,0.8605,0.904,0.8805,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,1,7.075704097747803,78.4,20.3,98.84999932861328,98.83953489365689,92.47,0.9885,0.9445,0.866,0.861,0.831,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,1,6.942491054534912,78.4,20.4,98.94999932861329,98.99302326574991,92.64,0.9895,0.955,0.8605,0.905,0.882,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,1,7.830960273742676,68.55,9.95,88.49999957275391,89.07441861884539,83.1,0.885,0.8505,0.8935,0.8035,0.7835,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,1,7.067309141159058,78.45,20.05,98.59999932861328,98.5720930161587,92.23,0.986,0.903,0.847,0.809,0.7865,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,5,13.183345794677734,87.05,4.7,93.05000006103515,93.52558141380132,88.44,0.9305,0.859,0.7515,0.7585,0.74,resnet18,cifar10,1
OS_unlearn,2000,-1,10,7.040043115615845,78.4,20.35,98.89999932861328,98.94651163784293,92.59,0.989,0.952,0.9495,0.891,0.8615,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,10,13.335000038146973,87.05,4.6,92.94999987792968,93.45813955333621,88.29,0.9295,0.8605,0.674,0.758,0.733,resnet18,cifar10,1
OS_unlearn,2000,-1,15,7.0041069984436035,78.4,20.3,98.84999932861328,98.83953489365689,92.47,0.9885,0.9445,0.866,0.861,0.831,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,18,7.309226989746094,78.4,20.1,98.64999932861328,98.70465115569358,92.33,0.9865,0.926,0.86,0.824,0.794,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,20,7.2607340812683105,78.45,20.05,98.59999932861328,98.5720930161587,92.23,0.986,0.903,0.847,0.809,0.7865,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,22,13.178716897964478,87.05,4.5,92.84999938964843,93.20930234403389,88.09,0.9285,0.866,0.6675,0.7425,0.706,resnet18,cifar10,1
OS_unlearn,2000,-1,22,7.078829050064087,78.2,19.8,98.34999932861328,98.39302324871684,92.03,0.9835,0.8645,0.831,0.807,0.7855,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,25,7.0991809368133545,77.7,19.3,97.84999932861328,97.81860463696857,91.58,0.9785,0.856,0.815,0.8065,0.7835,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,30,13.166343927383423,87.1,4.45,92.79999969482422,93.0674418789176,88.01,0.928,0.871,0.6635,0.727,0.687,resnet18,cifar10,1
OS_unlearn,2000,-1,30,13.343091011047363,87.05,4.75,93.10000006103516,93.58372092171602,88.62,0.931,0.8575,0.756,0.7575,0.7445,resnet18,cifar10,1
OS_unlearn,2000,-1,30,7.092027902603149,68.6,9.95,88.49999957275391,89.08372093449083,83.25,0.885,0.852,0.774,0.806,0.7835,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,40,7.020185947418213,68.6,9.95,88.49999957275391,89.07906975466706,83.19,0.885,0.8515,0.8675,0.8045,0.7835,vgg16_bn,cifar10,1
OS_unlearn,2000,-1,50,13.072439908981323,86.35,3.2,91.55,92.43488372234965,87.52,0.9155,0.8765,0.573,0.7025,0.6815,resnet18,cifar10,1
OS_unlearn,2000,-1,50,12.903841972351074,87.05,4.75,93.10000006103516,93.58372092171602,88.62,0.931,0.8585,0.756,0.7575,0.744,resnet18,cifar10,1
OS_unlearn,2000,-1,51,13.412306070327759,86.75,4.05,92.39999938964844,93.28604653717751,88.36,0.924,0.8515,0.585,0.742,0.7375,resnet18,cifar10,1
OS_unlearn,2000,-1,69,13.445205926895142,86.2,3.4,91.74999969482423,92.91860467671239,87.88,0.9175,0.8515,0.5775,0.779,0.7545,resnet18,cifar10,1
OS_unlearn,2000,-1,69,14.139937162399292,85.65,2.1,90.44999975585938,91.4232558082758,86.55,0.9045,0.869,0.559,0.715,0.7135,resnet18,cifar10,1
OS_unlearn,2000,-1,70,12.86519479751587,85.6,2.0,90.34999975585937,91.35116278501998,86.54,0.9035,0.868,0.558,0.7165,0.7125,resnet18,cifar10,1
OS_unlearn,2000,-1,71,12.894730806350708,85.6,1.95,90.29999975585937,91.29534883153161,86.47,0.903,0.867,0.558,0.7205,0.711,resnet18,cifar10,1
OS_unlearn,2000,-1,71,13.42139983177185,86.1,3.3,91.64999969482422,92.82790700229378,87.86,0.9165,0.851,0.5765,0.779,0.754,resnet18,cifar10,1
OS_unlearn,2000,-1,101,13.455701112747192,83.05,-0.1,88.24999945068359,89.00232558565362,84.75,0.8825,0.827,0.597,0.7305,0.7,resnet18,cifar10,1
OS_unlearn,2250,-1,1,7.205475091934204,49.111111111111114,49.733333333333334,98.93333333333334,98.99415203536184,92.66,0.9893333333333333,0.9533333333333334,0.8622222222222222,0.9031111111111111,0.8791111111111111,vgg16_bn,cifar10,1
FT,4500,-1,1,3.9753940105438232,92.64444444444445,5.777777777777778,98.33333333333333,98.64197530864197,92.25,0.9833333333333333,0.9504444444444444,0.86,0.8942222222222223,0.8735555555555555,vgg16_bn,cifar10,1
FT,4500,-1,1,28.24541425704956,92.5111111111111,5.8,98.35555555555555,98.85432098765432,92.37,0.9835555555555555,0.94,0.8391111111111111,0.8891111111111111,0.8706666666666667,vgg16_bn,cifar10,1
FT,4500,-1,1,5.116463899612427,92.64444444444445,5.777777777777778,98.33333333333333,98.64197530864197,92.25,0.9833333333333333,0.9504444444444444,0.86,0.8942222222222223,0.8735555555555555,vgg16_bn,cifar10,1
FT,4500,-1,1,27.853245973587036,92.5111111111111,5.8,98.35555555555555,98.85432098765432,92.37,0.9835555555555555,0.94,0.8391111111111111,0.8891111111111111,0.8706666666666667,vgg16_bn,cifar10,1
LDA,4500,-1,0,12.781229972839355,92.64444444444445,6.377777777777778,98.93333333333334,98.77037037037037,92.42,0.9893333333333333,0.9893333333333333,0.4797777777777778,0.9997777777777778,0.9997777777777778,vgg16_bn,cifar10,1
LDA,4500,-1,0,14.262074947357178,92.64444444444445,6.377777777777778,98.93333333333334,98.77037037037037,92.42,0.9893333333333333,0.9893333333333333,0.4797777777777778,0.9997777777777778,0.9997777777777778,vgg16_bn,cifar10,1
LDA_CG,4500,-1,0,31.13572096824646,92.66666666666667,6.355555555555555,98.91111111111111,98.97283950617285,92.34,0.9891111111111112,0.9886666666666667,0.38222222222222224,0.9984444444444445,0.9988888888888889,vgg16_bn,cifar10,1
LDA_CG,4500,-1,0,30.717820167541504,92.66666666666667,6.355555555555555,98.91111111111111,98.97283950617285,92.35,0.9891111111111112,0.9886666666666667,0.38222222222222224,0.9986666666666667,0.9988888888888889,vgg16_bn,cifar10,1
LDA_CG,4500,-1,1,12.476671934127808,92.71111111111111,6.155555555555556,98.71111115180122,98.9037037037037,92.46,0.9871111111111112,0.9864444444444445,0.3933333333333333,0.9948888888888889,0.9955555555555555,vgg16_bn,cifar10,1
LDA_update,4500,-1,0,161.07334661483765,92.62222222222222,6.088888888888889,98.64444444444445,98.80246913580247,92.4,0.9864444444444445,0.9864444444444445,0.4895555555555556,0.9982222222222222,0.9982222222222222,vgg16_bn,cifar10,1
